06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeader' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ListHeader' added. (09FA2CE0)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ListHeaderSegment' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ListHeaderSegment' added. (09FA4068)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Listbox' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Listbox' added. (09FA4130)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Menubar' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Menubar' added. (09FA3BB8)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/MenuItem' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/MenuItem' added. (09FA2C18)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/MultiColumnList' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/MultiColumnList' added. (09FA3C80)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/MultiLineEditbox' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/MultiLineEditbox' added. (09FA3190)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/PopupMenu' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/PopupMenu' added. (09FA30C8)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ProgressBar' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ProgressBar' added. (09FA3320)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ScrollablePane' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ScrollablePane' added. (09FA3898)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Scrollbar' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Scrollbar' added. (09FA3E10)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Slider' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Slider' added. (09FA34B0)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Static' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Static' added. (09FA3578)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/StaticImage' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/StaticImage' added. (09FA3D48)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/StaticText' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/StaticText' added. (09FA3ED8)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/SystemButton' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/SystemButton' added. (09FA3960)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/TabButton' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/TabButton' added. (09FA2A88)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/TabControl' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/TabControl' added. (09FA3FA0)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Titlebar' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Titlebar' added. (09FA41F8)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ToggleButton' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ToggleButton' added. (09FA2F38)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Tooltip' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Tooltip' added. (09FA29C0)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/ItemListbox' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/ItemListbox' added. (09FA2B50)
06/03/2013 20:09:22 (Std) 	Created WindowRendererFactory for 'Falagard/Tree' WindowRenderers.
06/03/2013 20:09:22 (Std) 	WindowRendererFactory 'Falagard/Tree' added. (09FA3640)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'OgreTray/PushButton' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'OgreTray/Titlebar' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'OgreTray/FrameWindow' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/Thumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'OgreTray/Thumb' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/VerticalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'OgreTray/VerticalScrollbar' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/HorizontalScrollbar' using base type 'CEGUI/Scrollbar', window renderer 'Falagard/Scrollbar' Look'N'Feel 'OgreTray/HorizontalScrollbar' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/StaticText' using base type 'DefaultWindow', window renderer 'Falagard/StaticText' Look'N'Feel 'OgreTray/StaticText' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/Title' using base type 'DefaultWindow', window renderer 'Falagard/Default' Look'N'Feel 'OgreTray/MiniTray' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/CaptionedStaticText' using base type 'DefaultWindow', window renderer 'Falagard/StaticText' Look'N'Feel 'OgreTray/CaptionedStaticText' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/ProgressBar' using base type 'CEGUI/ProgressBar', window renderer 'Falagard/ProgressBar' Look'N'Feel 'OgreTray/ProgressBar' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/Editbox' using base type 'CEGUI/Editbox', window renderer 'Falagard/Editbox' Look'N'Feel 'OgreTray/Editbox' and RenderEffect ''. (001FC628)
06/03/2013 20:09:22 (Std) 	Creating falagard mapping for type 'OgreTray/MultiLineEditbox' using base type 'CEGUI/MultiLineEditbox', window renderer 'Falagard/MultiLineEditbox' Look'N'Feel 'OgreTray/MultiLineEditbox' and RenderEffect ''. (001FC628)
